epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.32719,0.71651,0.69388,1,0.62213,0.00025005,0.00025005,0.00025005
2,16.8228,0.59558,0.73469,1,0.49203,0.000496306,0.000496306,0.000496306
3,25.2201,0.47345,0.7551,1,0.50234,0.000721438,0.000721438,0.000721438
4,33.2154,0.32285,0.7551,1,0.51325,0.000925445,0.000925445,0.000925445
5,41.181,0.28004,0.85714,1,0.30709,0.00110833,0.00110833,0.00110833
6,48.9708,0.25046,0.81633,1,0.34899,0.00127009,0.00127009,0.00127009
7,56.8125,0.23193,0.89796,1,0.26462,0.00127092,0.00127092,0.00127092
8,64.563,0.19252,0.91837,1,0.23453,0.00120491,0.00120491,0.00120491
9,72.4402,0.20377,0.77551,1,0.9418,0.00113889,0.00113889,0.00113889
10,80.4364,0.18337,0.93878,1,0.27867,0.00107288,0.00107288,0.00107288
11,88.2421,0.23793,0.83673,1,0.48182,0.00100687,0.00100687,0.00100687
12,95.9123,0.17405,0.93878,1,0.18238,0.000940855,0.000940855,0.000940855
13,103.771,0.166,0.93878,1,0.16511,0.000874842,0.000874842,0.000874842
14,111.539,0.147,0.97959,1,0.18323,0.000808828,0.000808828,0.000808828
15,119.286,0.09456,0.95918,1,0.17205,0.000742815,0.000742815,0.000742815
16,127.107,0.11343,0.95918,1,0.16723,0.000676802,0.000676802,0.000676802
17,134.739,0.12864,0.95918,1,0.10651,0.000610789,0.000610789,0.000610789
18,142.431,0.10872,0.95918,1,0.1106,0.000544776,0.000544776,0.000544776
19,150.163,0.08654,0.95918,1,0.10731,0.000478762,0.000478762,0.000478762
20,157.943,0.07501,0.93878,1,0.13967,0.000412749,0.000412749,0.000412749
21,165.761,0.07755,0.93878,1,0.14462,0.000346736,0.000346736,0.000346736
22,173.552,0.08139,0.93878,1,0.11181,0.000280723,0.000280723,0.000280723
23,181.709,0.05865,0.93878,1,0.10007,0.00021471,0.00021471,0.00021471
24,191.884,0.06968,0.93878,1,0.09703,0.000148696,0.000148696,0.000148696
25,200.025,0.06956,0.95918,1,0.13614,8.26832e-05,8.26832e-05,8.26832e-05
